code,descripcion,costo,precio1,precio2,precio3,precio4,precio5
10070086,CORNETA LARGA DE METAL X 6.U.D,"8,5",0,0,0,0,0
10710757,COLITAS X12 X3U,70,0,0,0,0,0
12078905,CORNETON DE METAL X 2.U.D,7,0,0,0,0,0
14789653,ZUMBA ZUMBA X 10 U.,179,0,0,0,0,0
27623114,QUITA ESMALTE KYLIE,12,0,0,0,0,0
27790893,COPITOS LA NIRVA X24UD,"9,9875",0,0,0,0,0
30052765,PAPELILLOS OCB X 5,2824,0,0,0,0,0
30068926,PAPELILLO OCB X 5,2824,0,0,0,0,0
30087859,PAPELILLO OCB CALAMO ORGANICO X5,280,0,0,0,0,0
30119550,PAPELILLO OCB ULTIMATE X 5,280,0,0,0,0,0
37000001,LUZ DE COLORES,95,0,0,0,0,0
37891742,BOLITAS DE LICOR,100,0,0,0,0,0
40084107,HUEVOS KINDER,365,0,0,0,0,0
40345727,SMARTTIES X 6 U.,38,0,0,0,0,0
41560045,BRILLITOS NENAS ,21,0,0,0,0,0
42213291,PAPELILLOS GIZEH X 5 U.,1505,0,0,0,0,0
42231196,PAPELIYOS X 100 ,70,0,0,0,0,0
42392361,PAPELILLOS GIZEH X 5 U.,1505,0,0,0,0,0
50312597,DAIRY MILK,19,0,0,0,0,0
50312610,DAIRY MILK X4,19,0,0,0,0,0
53993885,RATTLERZ CANDY ,"5,3",0,0,0,0,0
53994677,PUSH POP SLIDERZ ,6,0,0,0,0,0
53997784,PUSH POP X UD,"10,5",0,0,0,0,0
54009622,PAPELILLOS X 2U.,1089,0,0,0,0,0
54009639,PAPELILLOS X 2U.,1089,0,0,0,0,0
54009691,PAPELILLOS X 2U.,1089,0,0,0,0,0
54010383,PAPELILLOS X 2U,1089,0,0,0,0,0
54034679,PAPELILLOS X 2U.,1089,0,0,0,0,0
75029999,ANTITRASPIRANTE ADIDAS ,"5,1",0,0,0,0,0
75030018,ANTITRASPIRANTE ADIDAS ,"5,1",0,0,0,0,0
75030032,ANTITRASPIRANTE ADIDAS,"5,1",0,0,0,0,0
75030056,ANTITRASPIRANTE ADIDAS ,"5,1",0,0,0,0,0
75030063,ANTITRASPIRANTE ADIDAS ,"5,1",0,0,0,0,0
75030087,DESODORANTE CONTROL ADIDAS,5,0,0,0,0,0
